ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
KSP d.d. Sežana,Partizanska cesta 2,Sežana,6210 Sežana,OBALNO-KRAŠKA,46.520691;14.85248253,0,115.83,90,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;49.72--ŠENTRUPERT;0.29--ORLA VAS;0.24--TRNAVA;0.79--ORLA VAS;0.32--TOPOVLJE;0.92--PARIŽLJE;1.39--PRESERJE;0.26--PARIŽLJE;0.65--MALE BRASLOVČE;1.36--LETUŠ;4.27--LJUBIJA;2.75--MOZIRJE;0.08--CESTA NA LEPO NJIVO;0.17--LJUBIJA;0.98--BREZJE;1.2--LEPA NJIVA;3.66--;0.55--BELE VODE;0.33--;1.17--ŠMIHEL NAD MOZIRJEM;0.39--BELE VODE;2.46--;6.22--LUDRANSKI VRH;3.62--;0.34--BISTRA;0.01--;0.83--BISTRA;0.02--;0.11--BISTRA;0.02--;2.45--PRISTAVA;1.78--CENTER;0.8--RUDARJEVO;0.46--MUŠENIK;0.98--ŽERJAV;2.03--PLAT;1.02--BREG;1.16--POLENA;0.57--GLANČNIK;0.27--MEŽICA;0.31--PARTIZANSKA CESTA;0.59--MALGAJEVA ULICA;0.12
KSP d.d. Sežana,Ob Dolu 17,Kozina,6240 Kozina,OBALNO-KRAŠKA,45.60643913;13.93654288,0,76.32,38,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;72.8--KOZINA;0.35--PRIKLJUČEK KOZINA;0.44--OBVOZNA CESTA;0.12--OBRTNIŠKA ULICA;0.15--POD VIDEŽEM;0.07--BAZOVIŠKA CESTA;0.05--KOZINA;0.19--HRPELJE;0.1--OB DOLU;0.55
KSP KOSTAK d.d.,Cesta 4. julija 134 A,Krško,8270 Krško,SPODNJEPOSAVSKA,45.94822282;15.51134771,0,102.88,56,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;82.84--DRNOVO;0.38--PRIKLJUČEK DRNOVO;0.63--DRNOVO;0.07--VELIKA VAS PRI KRŠKEM;1.14--LESKOVEC PRI KRŠKEM;1.26--ULICA 11. NOVEMBRA;0.25--CESTA KRŠKIH ŽRTEV;0.89--ŽADOVINEK;0.63--;0.33--VRBINA;1.06--;0.47--CESTA 4. JULIJA;0.56
KSP Ljutomer d.o.o.,Ulica Rada Pušenjaka 9,Ljutomer,9240 Ljutomer,POMURSKA,46.52630844;16.18488707,0,188.93,105,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;37.52--VUČJA VAS;0.12--PRIKLJUČEK VUČJA VAS;0.19--BUČEČOVCI;1.0--STARA NOVA VAS;1.28--ILJAŠEVCI;0.81--KRIŽEVCI PRI LJUTOMERU;1.47--BORECI;0.27--KLJUČAROVCI PRI LJUTOMERU;0.91--LUKAVCI;1.52--NORŠINCI PRI LJUTOMERU;2.16--BABINCI;0.01--NORŠINCI PRI LJUTOMERU;0.02--KOLODVORSKA ULICA;0.14--LJUTOMER;0.03--KOLODVORSKA ULICA;1.0--ULICA RADA PUŠENJAKA;0.73
Loška Komunala d.d.,Kidričeva cesta 43 A,Škofja Loka,4220 Škofja Loka,GORENJSKA,46.17224581;14.32298242,0,26.92,24,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--LJUBLJANSKA CESTA;0.76--KIDRIČEVA CESTA;0.28--GRENC;0.09--KIDRIČEVA CESTA;0.11
Občina Bohinj,Rožna ulica 18,Bohinjska Bistrica,4264 Bohinjska Bistrica,GORENJSKA,46.26835863;13.95704772,0,79.89,52,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;2.11--CESTA SVOBODE;2.87--BOHINJSKA BELA;1.29--KUPLJENIK;2.42--OBRNE;1.17--KUPLJENIK;0.13--OBRNE;0.05--KUPLJENIK;0.03--OBRNE;0.26--NEMŠKI ROVT;1.26--NOMENJ;6.87--LOG V BOHINJU;0.28--LEPENCE;0.92--BITNJE;1.37--SAVSKA CESTA;0.92--TRIGLAVSKA CESTA;0.3--JELOVŠKA CESTA;0.24--ROŽNA ULICA;0.17
Občina Gorenja vas-Poljane,Poljanska cesta 87,Gorenja vas,4224 Gorenja vas,GORENJSKA,46.10562846;14.13852162,0,34.56,36,TRŽAŠKA CESTA;1.63--VRHNIŠKA CESTA;1.14--LJUBLJANSKA CESTA;1.12--LOŠKA CESTA;2.66--LESNO BRDO;1.76--DRENOV GRIČ;0.61--LESNO BRDO;2.69--ZAKLANEC;1.19--LJUBLJANSKA CESTA;1.56--LJUBGOJNA;0.75--VRZDENEC;2.79--SAMOTORICA;0.01--VRZDENEC;0.17--SAMOTORICA;0.02--VRZDENEC;0.26--SAMOTORICA;0.06--VRZDENEC;0.08--SAMOTORICA;0.01--VRZDENEC;0.04--SAMOTORICA;1.36--ŠENTJOŠT NAD HORJULOM;0.15--BUTAJNOVA;0.63--ŠENTJOŠT NAD HORJULOM;0.03--BUTAJNOVA;0.32--ŠENTJOŠT NAD HORJULOM;0.02--BUTAJNOVA;0.52--ŠENTJOŠT NAD HORJULOM;2.24--PLANINA NAD HORJULOM;0.21--GOLI VRH;0.47--DOLGE NJIVE;0.68--LUČINE;1.04--PRELESJE;0.06--LUČINE;0.03--PRELESJE;1.18--BREBOVNICA;0.02--PRELESJE;0.03--BREBOVNICA;0.28--PRELESJE;0.1--BREBOVNICA;2.04--ŽIROVSKI VRH SV. URBANA;0.01--TODRAŽ;1.53--GORENJA DOBRAVA;1.36--DOLENJA DOBRAVA;0.52--SESTRANSKA VAS;0.55--GORENJA VAS;0.19--POLJANSKA CESTA;0.43
Občina Hoče- Slivnica,Pohorska cesta 15,Slivnica,2312 Slivnica,PODRAVSKA,46.51112548;15.08260135,0,116.97,74,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;0.8--KOŽELJSKEGA ULICA;0.33--CESTA IV;0.06--CESTA III;0.08--CESTA II;0.07--CESTA I;0.09--GORIŠKA CESTA;0.27--ŠALEK;0.15--PREDOR ŠALEK;0.12--ŠALEK;1.03--SELO;0.84--PAKA PRI VELENJU;3.83--KOZJAK;0.04--PAKA PRI VELENJU;1.26--KOZJAK;0.77--ZAVRŠE;0.51--KOZJAK;0.21--ZAVRŠE;0.24--KOZJAK;0.01--ZAVRŠE;0.13--GORNJI DOLIČ;0.42--ZAVRŠE;0.03--GORNJI DOLIČ;1.2--MOVŽE;1.71--ŠENTLENART;0.57--STRAŽE;1.13--MISLINJA;0.01--STRAŽE;1.44--MISLINJA;0.01--STRAŽE;0.16--MISLINJA;0.12--MISLINJSKA DOBRAVA;3.79--TOMAŠKA VAS;0.58--ŠMARTNO PRI SLOVENJ GRADCU;2.82--SLOVENJ GRADEC (OBVOZNICA);1.66--POHORSKA CESTA;0.11--BERNEKARJEVA ULICA;0.13
Občina Rače- Fram,Rače,Rače-Fram,2327 Rače,PODRAVSKA,46.4528243;15.6811525,0,126.06,67,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;105.11--FRAM;0.29--PRIKLJUČEK FRAM;0.03--FRAM;0.18--TURNERJEVA ULICA;0.35--LJUBLJANSKA CESTA;1.48--RAČE;0.35--ULICA LACKOVE ČETE;0.07
Občina Železniki,Železniki,Železniki,4228 Železniki,GORENJSKA,46.21817985;14.15917595,0,44.65,42,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;1.09--LJUBLJANSKA CESTA;0.79--KIDRIČEVA CESTA;0.88--KAPUCINSKI TRG;0.61--PODLUBNIK;0.45--STARA LOKA;0.52--BINKELJ;0.1--ŠKOFJA LOKA;0.12--VEŠTER;0.01--ŠKOFJA LOKA;0.01--VEŠTER;0.02--ŠKOFJA LOKA;0.32--VEŠTER;2.77--PRAPROTNO;2.37--BUKOVICA;2.26--DOLENJA VAS;1.89--SELCA;2.49--STUDENO;1.3--ŽELEZNIKI;0.24--ČEŠNJICA;0.27--OTOKI;0.59--TRNJE;0.6--NA PLAVŽU;0.38
Občina Žiri,Žiri,Žiri,4226 Žiri,GORENJSKA,46.04596194;14.10827295,0,40.97,35,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;12.1--VRHNIKA;0.27--PRIKLJUČEK VRHNIKA;0.21--LJUBLJANSKA CESTA;0.28--TRŽAŠKA CESTA;2.75--VRHNIKA;2.05--;0.39--STRMICA;1.76--JERINOV GRIČ;0.55--PREZID;0.89--ZAPLANA - DEL;1.06--PETKOVEC;0.07--ZAPLANA - DEL;0.06--PETKOVEC;0.04--ZAPLANA - DEL;0.29--PETKOVEC;0.03--ZAPLANA - DEL;0.12--PETKOVEC;2.98--ROVTE;0.06--PETKOVEC;0.48--ROVTE;5.32--HLEVIŠE;1.21--IZGORJE;0.77--PODKLANEC;0.97--BREKOVICE;2.37--LOGAŠKA CESTA;1.8--STAROŽIROVSKA CESTA;0.29--ŽIRI;0.07--JOBSTOVA CESTA;0.24
"OKP - JPKS Rogaška Slatina, d.o.o.",Celjska cesta 12,Rogaška Slatina,3250 Rogaška Slatina,SAVINJSKA,46.22923877;15.51678694,0,110.21,66,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;75.43--DRAMLJE;0.2--PRIKLJUČEK DRAMLJE;0.11--LAZE PRI DRAMLJAH;0.42--TRNOVEC PRI DRAMLJAH;0.79--DOLE;1.83--LOKARJE;1.04--ŠENTJUR;1.38--PREŠERNOVA ULICA;0.27--TRUBARJEVA ULICA;0.07--CESTA KOZJANSKEGA ODREDA;0.48--CESTA NA KMETIJSKO ŠOLO;1.12--BEZOVJE PRI ŠENTJURJU;0.38--STOPČE;1.07--GROBELNO - DEL;1.97--ZAVRŠE PRI GROBELNEM;0.08--ŠENTVID PRI GROBELNEM;1.28--BODRIŠNA VAS;1.3--SENOVICA;1.23--ZADRŽE;0.25--CELJSKA CESTA;1.31
Publicus d.o.o.,Neverke 56 X,Pivka,6257 Pivka,NOTRANJO-KRAŠKA,45.67412725;14.13790052,0,59.94,38,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;41.88--POSTOJNA;0.25--PRIKLJUČEK POSTOJNA;0.14--REŠKA CESTA;0.64--RAKITNIK;1.51--MATENJA VAS;1.03--REŠKA CESTA;2.03--SLAVINA;0.37--ŽEJE;0.35--SELCE;1.6--PETELINJE;1.18--POSTOJNSKA CESTA;0.56--KOLODVORSKA CESTA;2.94--PIVKA;0.46--KAL;2.75--NEVERKE;0.49--;0.27
Publicus d.o.o.,Jeršice 3,Postojna,6230 Postojna,NOTRANJO-KRAŠKA,45.77921973;14.2202472,0,47.04,26,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;41.88--POSTOJNA;0.25--PRIKLJUČEK POSTOJNA;0.15--REŠKA CESTA;0.9--TITOVA CESTA;1.31--TITOV TRG;0.05--LJUBLJANSKA CESTA;0.29--KOLODVORSKA CESTA;0.36--JERŠICE;0.33
Publicus d.o.o.,Dolenji Suhadol 7,Brusnice,8321 Brusnice,JUGOVZHODNA,45.80666934;15.27912652,0,80.72,49,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;57.09--NOVO MESTO - VZHOD;0.11--PRIKLJUČEK NOVO MESTO - VZHOD;0.23--NA BREZOVICI;0.33--ZAGREBŠKA CESTA;0.13--OTOŠKA CESTA;1.75--NOVO MESTO;0.31--LEŠNICA;0.59--OTOČEC;0.72--NAD KRKO;0.1--ŠENTPETER;0.4--GUMBERK;1.66--RATEŽ;0.92--MALE BRUSNICE;0.83--VELIKE BRUSNICE;1.03--LESKOVEC;0.45--;0.02--LESKOVEC;1.41--DOLENJI SUHADOL;0.29
PUP Saubermacher Velenje d.d.,Koroška cesta 37 B,Velenje,3320 Velenje,SAVINJSKA,46.36888346;15.10294364,0,94.03,56,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;1.94--ŠALEŠKA CESTA;0.07--CESTA FRANTIŠKA FOITA;0.39--CESTA TALCEV;0.42--KOROŠKA CESTA;0.2--CESTA POD PARKOM;0.62--KOROŠKA CESTA;0.12
PUP Saubermacher Velenje d.d.,Koroška cesta 37 B,Velenje,3320 Velenje,SAVINJSKA,46.36888346;15.10294364,0,94.03,56,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;1.94--ŠALEŠKA CESTA;0.07--CESTA FRANTIŠKA FOITA;0.39--CESTA TALCEV;0.42--KOROŠKA CESTA;0.2--CESTA POD PARKOM;0.62--KOROŠKA CESTA;0.12
PUP Saubermacher Velenje d.d.,Letuš 12,Šmartno ob Paki,3327 Šmartno ob Paki,SAVINJSKA,46.3135862;15.02562029,0,75.47,44,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;49.72--ŠENTRUPERT;0.29--ORLA VAS;0.24--TRNAVA;0.79--ORLA VAS;0.32--TOPOVLJE;0.92--PARIŽLJE;1.39--PRESERJE;0.26--PARIŽLJE;0.65--MALE BRASLOVČE;1.36--LETUŠ;1.34
PUP Saubermacher Velenje d.d.,Primorska cesta 8 A,Šoštanj,3325 Šoštanj,SAVINJSKA,46.37948718;15.0374703,0,88.22,57,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;49.72--ŠENTRUPERT;0.29--ORLA VAS;0.24--TRNAVA;0.79--ORLA VAS;0.32--TOPOVLJE;0.92--PARIŽLJE;1.39--PRESERJE;0.26--PARIŽLJE;0.65--MALE BRASLOVČE;1.36--LETUŠ;3.19--REČICA OB PAKI;0.38--ŠMARTNO OB PAKI;2.19--GAVCE;0.71--ŠMARTNO OB PAKI;0.04--PAŠKA VAS;0.45--GORENJE;0.73--SKORNO;1.72--LOKOVICA;3.39--CESTA TALCEV;0.58--PRIMORSKA CESTA;0.71
SAUBERMACHER Komunala d.o.o.,Kopališka ulica 2,Murska Sobota,9000 Murska Sobota,POMURSKA,46.40347467;15.79704311,0,133.41,73,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;97.9--SLOVENSKA BISTRICA - SEVER;0.2--PRIKLJUČEK SLOVENSKA BISTRICA - SEVER;0.5--POKOŠE;1.5--SPODNJA POLSKAVA;1.26--PRAGERSKO;0.63--SPODNJA POLSKAVA;1.53--GAJ;1.09--SPODNJA GORICA;0.78--STRAŽGONJCA;1.12--ŠIKOLE;1.17--PONGRCE;0.54--SPODNJE JABLANE;0.51--CIRKOVCE;0.75--DRAGONJA VAS;0.06--CIRKOVCE;0.17--DRAGONJA VAS;0.12--MIHOVCE;0.06--CIRKOVCE;0.51--PLETERJE;0.89--STRNIŠČE;1.17--KIDRIČEVO;1.37--NJIVERCE;0.94--TOVARNIŠKA CESTA;0.33--KOPALIŠKA ULICA;0.11
SAUBERMACHER Komunala d.o.o.,Cvetlična ulica 1,Orehova vas,2312 Orehova vas,PODRAVSKA,46.30090605;15.49978271,0,111.03,62,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;86.45--SLOVENSKE KONJICE;0.11--PRIKLJUČEK SLOVENSKE KONJICE;0.6--TEPANJE;0.23--DRAŽA VAS;2.23--ŽIČE;2.1--LOČE;0.47--MLINSKA ULICA;0.11--LOČE;0.23--SLOMŠKOVA ULICA;0.29
SAUBERMACHER Komunala d.o.o. ZC Beltinci,Mladinska ulica 2,Beltinci,9231 Beltinci,POMURSKA,46.6190244;16.14473647,0,185.97,99,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.37--SOBOŠKA ULICA;1.34--KROŠKA ULICA;0.18--MLADINSKA ULICA;0.02--PARTIZANSKA ULICA;0.02--MLADINSKA ULICA;0.07
